Metric,Baseline<br><sub>No religious text</sub>,Heart-focused<br><sub>Generic scaffold</sub>,Proverbs 4:23<br><sub>Biblical (Jewish/Christian)</sub>,Dhammapada 34<br><sub>Buddhist</sub>,Bhagavad Gita 15.15<br><sub>Hindu</sub>,Qur'an 26:88-89<br><sub>Islamic</sub>
Task A accuracy (overall verdict),0.5079,0.5079,0.5079,0.5079,0.4762,0.4921
Task B accuracy (inward orientation),0.8889,0.9683,0.9683,0.8889,0.9206,0.9206
Task C motive-focus rate,0.4127,0.4762,0.5397,0.4127,0.4603,0.5238
Heart-sensitivity score (same-act),0.6957,0.9130,0.9130,0.6957,0.7826,0.7826
Same-heart control accuracy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Heart overreach rate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mean explanation length (chars),112.9,105.7,108.0,106.6,114.7,109.0
Paired-order Task B accuracy,0.6957,0.9130,0.9130,0.6957,0.7826,0.7826
Order-flip rate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Paired-order Task B gap,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
